KOR,MATH,MEAN
97,52,74.5
42,100,71.0
67,88,77.5
80,69,74.5
57,86,71.5
90,73,81.5
91,59,75.0
97,53,75.0
79,63,71.0
49,97,73.0
93,67,80.0
66,90,78.0
77,90,83.5
88,76,82.0
99,50,74.5
100,87,93.5
88,68,78.0
97,55,76.0
82,72,77.0
87,98,92.5
94,87,90.5
87,62,74.5
93,99,96.0
85,70,77.5
89,87,88.0
83,68,75.5
91,82,86.5
97,93,95.0
63,82,72.5
76,77,76.5
100,54,77.0
89,92,90.5
71,95,83.0
74,72,73.0
78,84,81.0
70,88,79.0
69,87,78.0
59,100,79.5
87,86,86.5
49,97,73.0
92,88,90.0
63,85,74.0
95,83,89.0
87,61,74.0
80,79,79.5
92,98,95.0
98,53,75.5
74,82,78.0
62,91,76.5
93,68,80.5
87,62,74.5
98,81,89.5
49,92,70.5
64,78,71.0
55,99,77.0
86,84,85.0
81,75,78.0
47,98,72.5
79,74,76.5
72,81,76.5
78,71,74.5
74,100,87.0
100,84,92.0
70,87,78.5
93,90,91.5
80,77,78.5
77,70,73.5
64,92,78.0
59,93,76.0
93,86,89.5
91,72,81.5
89,64,76.5
89,51,70.0
55,94,74.5
63,92,77.5
91,99,95.0
87,95,91.0
69,88,78.5
76,82,79.0
90,76,83.0
100,79,89.5
94,87,90.5
96,58,77.0
97,43,70.0
95,69,82.0
68,91,79.5
48,95,71.5
86,87,86.5
96,57,76.5
80,79,79.5
97,88,92.5
77,76,76.5
76,75,75.5
76,96,86.0
97,72,84.5
86,86,86.0
71,86,78.5
90,62,76.0
98,51,74.5
65,88,76.5
75,100,87.5
85,58,71.5
85,92,88.5
67,91,79.0
76,78,77.0
72,98,85.0
97,80,88.5
66,89,77.5
81,60,70.5
50,96,73.0
47,98,72.5
69,77,73.0
82,90,86.0
90,88,89.0
97,53,75.0
98,49,73.5
48,96,72.0
86,93,89.5
98,95,96.5
89,70,79.5
94,79,86.5
91,89,90.0
83,85,84.0
97,98,97.5
61,80,70.5
97,97,97.0
67,94,80.5
98,88,93.0
44,99,71.5
86,98,92.0
96,70,83.0
82,84,83.0
71,90,80.5
91,60,75.5
76,72,74.0
91,70,80.5
70,76,73.0
68,84,76.0
73,76,74.5
55,89,72.0
100,75,87.5
100,97,98.5
93,62,77.5
99,62,80.5
44,98,71.0
92,83,87.5
61,98,79.5
85,86,85.5
82,82,82.0
70,89,79.5
76,95,85.5
99,66,82.5
92,66,79.0
77,68,72.5
60,92,76.0
92,64,78.0
75,71,73.0
69,80,74.5
80,91,85.5
79,88,83.5
62,95,78.5
86,55,70.5
93,69,81.0
95,93,94.0
97,61,79.0
96,98,97.0
83,84,83.5
82,70,76.0
54,87,70.5
57,87,72.0
74,81,77.5
90,85,87.5
97,44,70.5
86,66,76.0
100,95,97.5
100,59,79.5
56,92,74.0
97,60,78.5
50,98,74.0
82,70,76.0
86,85,85.5
54,86,70.0
83,68,75.5
63,99,81.0
93,52,72.5
80,94,87.0
91,84,87.5
51,99,75.0
97,47,72.0
55,91,73.0
90,84,87.0
66,91,78.5
57,97,77.0
88,81,84.5
97,79,88.0
79,70,74.5
88,77,82.5
78,96,87.0
70,92,81.0
87,68,77.5
71,88,79.5
94,71,82.5
100,100,100.0
56,98,77.0
76,79,77.5
83,71,77.0
52,96,74.0
75,66,70.5
78,100,89.0
87,79,83.0
66,75,70.5
71,73,72.0
70,83,76.5
96,74,85.0
84,92,88.0
84,68,76.0
70,74,72.0
82,98,90.0
91,66,78.5
90,61,75.5
100,42,71.0
61,100,80.5
76,88,82.0
94,63,78.5
47,96,71.5
95,80,87.5
86,83,84.5
97,88,92.5
78,67,72.5
68,95,81.5
91,73,82.0
76,98,87.0
77,74,75.5
100,82,91.0
96,84,90.0
100,53,76.5
84,67,75.5
70,71,70.5
94,88,91.0
91,68,79.5
91,59,75.0
88,94,91.0
94,68,81.0
75,74,74.5
96,71,83.5
87,59,73.0
85,81,83.0
65,77,71.0
88,84,86.0
100,71,85.5
80,97,88.5
83,61,72.0
91,99,95.0
86,91,88.5
81,89,85.0
73,68,70.5
97,94,95.5
94,88,91.0
87,83,85.0
88,98,93.0
81,68,74.5
95,68,81.5
97,89,93.0
87,95,91.0
67,98,82.5
91,95,93.0
90,81,85.5
92,50,71.0
100,54,77.0
61,92,76.5
54,90,72.0
62,88,75.0
70,93,81.5
94,71,82.5
84,72,78.0
94,91,92.5
92,48,70.0
56,92,74.0
44,98,71.0
87,67,77.0
80,91,85.5
71,71,71.0
85,72,78.5
81,78,79.5
76,84,80.0
51,92,71.5
80,85,82.5
47,95,71.0
95,75,85.0
95,60,77.5
95,59,77.0
82,77,79.5
57,91,74.0
58,85,71.5
81,93,87.0
100,94,97.0
90,79,84.5
99,66,82.5
56,99,77.5
90,99,94.5
90,54,72.0
64,77,70.5
90,69,79.5
63,90,76.5
65,94,79.5
79,95,87.0
86,90,88.0
89,72,80.5
98,45,71.5
49,96,72.5
55,85,70.0
96,63,79.5
91,91,91.0
61,90,75.5
73,92,82.5
76,76,76.0
75,93,84.0
100,47,73.5
88,86,87.0
60,88,74.0
73,79,76.0
78,65,71.5
98,70,84.0
74,68,71.0
98,96,97.0
91,71,81.0
56,97,76.5
96,92,94.0
86,57,71.5
99,56,77.5
60,97,78.5
87,97,92.0
83,93,88.0
73,88,80.5
80,63,71.5
98,66,82.0
81,74,77.5
79,84,81.5
78,76,77.0
78,92,85.0
63,85,74.0
96,60,78.0
95,82,88.5
96,67,81.5
92,55,73.5
86,77,81.5
100,83,91.5
76,98,87.0
88,64,76.0
88,100,94.0
81,95,88.0
83,71,77.0
96,97,96.5
97,50,73.5
58,90,74.0
77,65,71.0
80,61,70.5
99,54,76.5
74,93,83.5
60,86,73.0
88,63,75.5
83,76,79.5
86,57,71.5
90,63,76.5
65,96,80.5
94,59,76.5
63,79,71.0
95,80,87.5
67,94,80.5
71,96,83.5
71,91,81.0
89,74,81.5
89,77,83.0
79,73,76.0
54,96,75.0
68,73,70.5
58,84,71.0
85,63,74.0
72,85,78.5
72,95,83.5
98,81,89.5
92,62,77.0
76,97,86.5
100,89,94.5
89,55,72.0
68,92,80.0
93,100,96.5
80,66,73.0
79,81,80.0
74,95,84.5
82,75,78.5
75,74,74.5
96,67,81.5
83,85,84.0
100,84,92.0
99,97,98.0
82,83,82.5
51,100,75.5
95,80,87.5
62,90,76.0
84,76,80.0
92,97,94.5
54,88,71.0
79,62,70.5
81,99,90.0
87,57,72.0
73,98,85.5
57,98,77.5
79,99,89.0
93,56,74.5
89,77,83.0
80,91,85.5
80,94,87.0
69,79,74.0
80,63,71.5
96,50,73.0
70,72,71.0
81,88,84.5
59,89,74.0
88,89,88.5
92,60,76.0
41,100,70.5
76,80,78.0
91,61,76.0
79,95,87.0
84,85,84.5
63,84,73.5
86,78,82.0
85,84,84.5
80,87,83.5
76,91,83.5
53,98,75.5
99,83,91.0
64,77,70.5
84,87,85.5
74,84,79.0
61,95,78.0
80,71,75.5
61,83,72.0
50,97,73.5
85,96,90.5
78,85,81.5
82,61,71.5
99,55,77.0
89,62,75.5
92,87,89.5
94,99,96.5
85,68,76.5
89,73,81.0
94,67,80.5
61,79,70.0
86,67,76.5
97,48,72.5
64,80,72.0
98,63,80.5
75,69,72.0
87,69,78.0
85,93,89.0
61,93,77.0
67,98,82.5
88,90,89.0
100,48,74.0
78,89,83.5
82,74,78.0
97,50,73.5
92,54,73.0
73,81,77.0
75,69,72.0
70,99,84.5
53,96,74.5
71,81,76.0
52,88,70.0
65,93,79.0
75,99,87.0
59,83,71.0
93,89,91.0
96,63,79.5
100,54,77.0
82,97,89.5
74,95,84.5
81,99,90.0
86,86,86.0
100,93,96.5
79,69,74.0
96,68,82.0
49,94,71.5
95,80,87.5
82,69,75.5
68,99,83.5
87,67,77.0
98,91,94.5
88,95,91.5
65,89,77.0
99,47,73.0
87,70,78.5
85,64,74.5
87,80,83.5
71,87,79.0
74,97,85.5
81,81,81.0
64,95,79.5
61,87,74.0
96,44,70.0
50,91,70.5
95,46,70.5
97,99,98.0
96,88,92.0
62,87,74.5
95,92,93.5
75,81,78.0
60,90,75.0
98,77,87.5
100,100,100.0
91,100,95.5
85,64,74.5
91,72,81.5
74,81,77.5
92,69,80.5
87,75,81.0
96,63,79.5
68,80,74.0
52,99,75.5
64,81,72.5
95,92,93.5
89,73,81.0
100,71,85.5
63,95,79.0
90,73,81.5
83,80,81.5
90,80,85.0
89,71,80.0
70,72,71.0
77,79,78.0
70,76,73.0
54,96,75.0
44,97,70.5
100,97,98.5
69,91,80.0
95,57,76.0
100,58,79.0
76,93,84.5
48,97,72.5
85,78,81.5
73,95,84.0
45,97,71.0
100,97,98.5
96,70,83.0
86,57,71.5
82,66,74.0
72,91,81.5
54,90,72.0
75,85,80.0
43,99,71.0
46,100,73.0
68,83,75.5
82,90,86.0
81,68,74.5
86,69,77.5
76,68,72.0
86,74,80.0
79,86,82.5
93,86,89.5
100,46,73.0
92,58,75.0
86,55,70.5
64,87,75.5
94,63,78.5
58,95,76.5
100,55,77.5
98,78,88.0
87,61,74.0
62,88,75.0
63,79,71.0
56,85,70.5
70,88,79.0
95,82,88.5
74,89,81.5
94,55,74.5
94,78,86.0
71,99,85.0
90,90,90.0
81,60,70.5
86,63,74.5
94,64,79.0
70,90,80.0
90,100,95.0
62,90,76.0
80,94,87.0
97,45,71.0
95,93,94.0
99,72,85.5
76,89,82.5
78,82,80.0
96,75,85.5
79,77,78.0
94,62,78.0
96,86,91.0
90,91,90.5
92,49,70.5
60,100,80.0
98,45,71.5
85,85,85.0
73,100,86.5
86,87,86.5
86,83,84.5
58,90,74.0
100,62,81.0
94,99,96.5
71,73,72.0
100,61,80.5
90,98,94.0
79,91,85.0
79,63,71.0
76,91,83.5
95,76,85.5
68,73,70.5
77,95,86.0
79,79,79.0
83,59,71.0
55,96,75.5
65,94,79.5
68,87,77.5
90,78,84.0
96,89,92.5
76,91,83.5
59,98,78.5
90,52,71.0
98,69,83.5
93,68,80.5
46,99,72.5
94,68,81.0
73,88,80.5
43,99,71.0
91,69,80.0
88,74,81.0
97,64,80.5
80,86,83.0
76,69,72.5
48,93,70.5
80,69,74.5
89,58,73.5
93,83,88.0
66,74,70.0
44,99,71.5
59,85,72.0
92,81,86.5
54,95,74.5
74,89,81.5
93,67,80.0
83,72,77.5
94,55,74.5
74,69,71.5
68,85,76.5
74,83,78.5
78,83,80.5
85,55,70.0
79,72,75.5
93,73,83.0
100,58,79.0
64,85,74.5
93,54,73.5
48,97,72.5
99,86,92.5
97,81,89.0
99,69,84.0
86,60,73.0
86,64,75.0
84,97,90.5
71,74,72.5
82,62,72.0
52,93,72.5
98,75,86.5
83,67,75.0
55,95,75.0
100,84,92.0
47,99,73.0
62,86,74.0
96,47,71.5
98,83,90.5
66,92,79.0
73,100,86.5
82,73,77.5
47,98,72.5
70,89,79.5
68,80,74.0
82,100,91.0
96,58,77.0
64,99,81.5
96,82,89.0
87,76,81.5
79,66,72.5
95,93,94.0
74,82,78.0
97,92,94.5
51,100,75.5
82,75,78.5
88,60,74.0
57,86,71.5
65,97,81.0
99,95,97.0
90,83,86.5
92,98,95.0
66,80,73.0
59,95,77.0
91,76,83.5
77,80,78.5
80,89,84.5
74,95,84.5
53,87,70.0
48,98,73.0
87,95,91.0
75,82,78.5
82,58,70.0
76,92,84.0
74,88,81.0
95,73,84.0
72,68,70.0
95,63,79.0
74,69,71.5
99,97,98.0
80,76,78.0
61,96,78.5
94,69,81.5
46,99,72.5
91,67,79.0
89,85,87.0
96,90,93.0
78,81,79.5
77,90,83.5
80,87,83.5
95,49,72.0
90,90,90.0
98,88,93.0
47,98,72.5
92,56,74.0
83,80,81.5
89,53,71.0
55,96,75.5
85,96,90.5
52,99,75.5
89,98,93.5
66,94,80.0
75,78,76.5
57,89,73.0
95,84,89.5
96,73,84.5
65,84,74.5
95,83,89.0
88,64,76.0
93,76,84.5
96,47,71.5
76,92,84.0
63,80,71.5
43,98,70.5
90,66,78.0
72,97,84.5
50,97,73.5
79,76,77.5
89,82,85.5
81,92,86.5
88,52,70.0
76,69,72.5
99,99,99.0
76,79,77.5
94,96,95.0
84,88,86.0
99,80,89.5
82,74,78.0
80,76,78.0
68,83,75.5
63,82,72.5
95,65,80.0
61,99,80.0
80,65,72.5
89,73,81.0
77,96,86.5
68,94,81.0
88,65,76.5
93,52,72.5
91,72,81.5
76,67,71.5
82,61,71.5
92,86,89.0
100,84,92.0
88,67,77.5
82,66,74.0
91,80,85.5
71,76,73.5
56,93,74.5
67,88,77.5
74,85,79.5
57,86,71.5
75,82,78.5
78,80,79.0
68,86,77.0
90,82,86.0
82,70,76.0
58,83,70.5
61,87,74.0
97,48,72.5
74,70,72.0
93,82,87.5
67,98,82.5
97,45,71.0
94,96,95.0
96,55,75.5
78,81,79.5
77,71,74.0
91,98,94.5
87,94,90.5
70,84,77.0
82,68,75.0
57,95,76.0
70,91,80.5
83,89,86.0
84,93,88.5
74,67,70.5
88,56,72.0
69,79,74.0
78,84,81.0
78,78,78.0
61,81,71.0
96,98,97.0
91,73,82.0
96,49,72.5
87,53,70.0
66,95,80.5
95,57,76.0
98,78,88.0
76,88,82.0
84,67,75.5
81,70,75.5
87,97,92.0
77,96,86.5
64,91,77.5
75,67,71.0
85,98,91.5
99,46,72.5
85,55,70.0
92,68,80.0
98,45,71.5
82,69,75.5
73,87,80.0
95,55,75.0
89,98,93.5
69,79,74.0
98,86,92.0
90,59,74.5
75,97,86.0
83,57,70.0
92,77,84.5
93,70,81.5
77,93,85.0
78,77,77.5
96,91,93.5
98,63,80.5
94,88,91.0
89,62,75.5
98,52,75.0
71,97,84.0
85,91,88.0
87,94,90.5
59,85,72.0
61,91,76.0
48,94,71.0
88,59,73.5
46,95,70.5
98,80,89.0
80,86,83.0
66,96,81.0
66,84,75.0
71,88,79.5
82,58,70.0
88,72,80.0
95,48,71.5
95,77,86.0
82,64,73.0
74,87,80.5
80,61,70.5
54,93,73.5
52,92,72.0
84,90,87.0
72,86,79.0
70,91,80.5
98,61,79.5
75,76,75.5
50,93,71.5
95,50,72.5
74,68,71.0
87,77,82.0
74,99,86.5
91,94,92.5
73,73,73.0
56,92,74.0
100,44,72.0
90,86,88.0
93,83,88.0
43,98,70.5
81,83,82.0
88,59,73.5
77,79,78.0
88,76,82.0
84,75,79.5
92,73,82.5
84,96,90.0
77,74,75.5
89,53,71.0
75,99,87.0
100,54,77.0
81,100,90.5
96,77,86.5
98,43,70.5
87,54,70.5
96,49,72.5
75,88,81.5
69,81,75.0
93,96,94.5
80,66,73.0
88,95,91.5
95,82,88.5
62,89,75.5
44,98,71.0
76,80,78.0
82,61,71.5
77,80,78.5
76,86,81.0
73,88,80.5
93,85,89.0
84,91,87.5
96,65,80.5
100,62,81.0
82,83,82.5
56,84,70.0
95,50,72.5
89,87,88.0
57,96,76.5
87,55,71.0
86,75,80.5
81,97,89.0
93,84,88.5
100,100,100.0
97,85,91.0
91,72,81.5
100,66,83.0
62,82,72.0
70,99,84.5
96,89,92.5
74,84,79.0
63,85,74.0
67,85,76.0
89,58,73.5
63,88,75.5
86,76,81.0
96,71,83.5
72,75,73.5
77,78,77.5
74,83,78.5
83,70,76.5
84,76,80.0
92,82,87.0
70,88,79.0
100,70,85.0
78,87,82.5
74,87,80.5
92,51,71.5
93,74,83.5
66,85,75.5
89,62,75.5
54,89,71.5
50,96,73.0
93,90,91.5
87,61,74.0
59,88,73.5
91,94,92.5
70,94,82.0
74,98,86.0
70,94,82.0
93,81,87.0
90,70,80.0
94,50,72.0
96,97,96.5
89,75,82.0
93,63,78.0
98,56,77.0
54,91,72.5
96,82,89.0
96,81,88.5
59,93,76.0
60,96,78.0
93,66,79.5
61,91,76.0
90,82,86.0
89,53,71.0
79,70,74.5
81,98,89.5
54,86,70.0
83,69,76.0
79,66,72.5
96,90,93.0
92,88,90.0
74,77,75.5
95,67,81.0
96,70,83.0
91,82,86.5
88,79,83.5
86,63,74.5
81,89,85.0
92,75,83.5
83,79,81.0
81,73,77.0
93,72,82.5
60,96,78.0
68,97,82.5
86,76,81.0
88,56,72.0
66,92,79.0
75,77,76.0
57,87,72.0
58,96,77.0
87,59,73.0
90,55,72.5
72,74,73.0
82,69,75.5
90,71,80.5
77,93,85.0
91,57,74.0
71,99,85.0
84,76,80.0
94,96,95.0
96,60,78.0
100,80,90.0
81,66,73.5
68,89,78.5
76,90,83.0
74,80,77.0
60,97,78.5
75,97,86.0
98,95,96.5
96,84,90.0
86,96,91.0
94,100,97.0
58,89,73.5
86,60,73.0
41,99,70.0
99,47,73.0
96,61,78.5
80,100,90.0
97,52,74.5
92,50,71.0
100,58,79.0
93,78,85.5
60,97,78.5
86,83,84.5
95,58,76.5
42,99,70.5
88,63,75.5
80,77,78.5
90,95,92.5
90,70,80.0
82,98,90.0
70,70,70.0
71,80,75.5
100,80,90.0
85,57,71.0
87,74,80.5
91,74,82.5
52,91,71.5
76,84,80.0
99,92,95.5
75,73,74.0
90,78,84.0
70,83,76.5
77,93,85.0
93,100,96.5
84,91,87.5
94,51,72.5
72,74,73.0
77,69,73.0
55,94,74.5
98,46,72.0
69,99,84.0
87,58,72.5
70,74,72.0
80,83,81.5
97,68,82.5
88,52,70.0
49,94,71.5
95,80,87.5
52,88,70.0
85,57,71.0
89,75,82.0
95,69,82.0
94,56,75.0
98,49,73.5
64,94,79.0
69,84,76.5
80,76,78.0
53,99,76.0
93,59,76.0
91,56,73.5
49,92,70.5
84,85,84.5
73,75,74.0
64,81,72.5
71,94,82.5
81,97,89.0
85,97,91.0
88,74,81.0
71,73,72.0
89,76,82.5
97,100,98.5
85,73,79.0
98,64,81.0
94,99,96.5
86,80,83.0
59,92,75.5
52,93,72.5
73,78,75.5
96,68,82.0
83,63,73.0
76,66,71.0
69,98,83.5
78,95,86.5
95,68,81.5
80,90,85.0
99,86,92.5
77,100,88.5
96,53,74.5
58,87,72.5
55,91,73.0
78,77,77.5
75,81,78.0
63,95,79.0
82,58,70.0
92,52,72.0
76,97,86.5
76,99,87.5
65,100,82.5
63,81,72.0
87,55,71.0
60,80,70.0
93,98,95.5
66,98,82.0
67,75,71.0
97,81,89.0
95,58,76.5
60,100,80.0
86,93,89.5
90,67,78.5
91,66,78.5
71,93,82.0
87,71,79.0
73,99,86.0
95,45,70.0
97,81,89.0
91,73,82.0
42,98,70.0
78,89,83.5
65,100,82.5
94,99,96.5
47,95,71.0
99,67,83.0
88,96,92.0
92,54,73.0
89,56,72.5
81,65,73.0
97,50,73.5
100,88,94.0
99,59,79.0
74,72,73.0
95,65,80.0
99,46,72.5
92,92,92.0
100,42,71.0
86,61,73.5
62,86,74.0
79,68,73.5
93,72,82.5
89,87,88.0
85,72,78.5
80,85,82.5
59,96,77.5
65,81,73.0
74,96,85.0
70,79,74.5
83,60,71.5
70,82,76.0
73,90,81.5
97,52,74.5
89,90,89.5
81,74,77.5
66,75,70.5
52,90,71.0
95,66,80.5
98,70,84.0
52,92,72.0
79,84,81.5
95,97,96.0
95,86,90.5
77,94,85.5
51,99,75.0
81,93,87.0
100,79,89.5
97,72,84.5
89,76,82.5
85,59,72.0
87,75,81.0
90,64,77.0
86,73,79.5
69,95,82.0
89,85,87.0
66,90,78.0
56,89,72.5
51,94,72.5
90,96,93.0
82,68,75.0
63,83,73.0
78,82,80.0
83,82,82.5
81,78,79.5
95,55,75.0
81,73,77.0
59,92,75.5
52,99,75.5
100,54,77.0
68,86,77.0
58,86,72.0
86,63,74.5
100,86,93.0
62,83,72.5
93,84,88.5
96,60,78.0
95,91,93.0
80,88,84.0
73,72,72.5
82,86,84.0
86,59,72.5
75,95,85.0
87,88,87.5
73,96,84.5
82,88,85.0
63,78,70.5
78,86,82.0
81,59,70.0
97,88,92.5
52,95,73.5
72,94,83.0
49,91,70.0
81,94,87.5
78,80,79.0
100,87,93.5
87,57,72.0
98,66,82.0
95,74,84.5
76,97,86.5
63,95,79.0
94,55,74.5
92,100,96.0
97,49,73.0
49,97,73.0
60,99,79.5
89,81,85.0
80,66,73.0
42,99,70.5
87,88,87.5
72,90,81.0
70,73,71.5
81,79,80.0
87,91,89.0
68,94,81.0
87,55,71.0
77,75,76.0
63,83,73.0
97,75,86.0
88,77,82.5
69,93,81.0
93,53,73.0
94,68,81.0
98,69,83.5
91,67,79.0
97,46,71.5
83,85,84.0
56,93,74.5
90,98,94.0
94,78,86.0
76,66,71.0
91,63,77.0
68,96,82.0
60,87,73.5
77,98,87.5
96,91,93.5
60,99,79.5
58,99,78.5
91,88,89.5
59,100,79.5
87,54,70.5
68,86,77.0
74,94,84.0
68,94,81.0
92,69,80.5
75,88,81.5
94,69,81.5
81,59,70.0
75,88,81.5
77,81,79.0
98,66,82.0
60,93,76.5
93,51,72.0
47,96,71.5
82,96,89.0
87,66,76.5
79,63,71.0
93,95,94.0
95,95,95.0
93,96,94.5
96,47,71.5
81,86,83.5
62,82,72.0
48,97,72.5
73,78,75.5
80,100,90.0
95,93,94.0
81,67,74.0
92,56,74.0
96,86,91.0
84,58,71.0
80,71,75.5
99,59,79.0
87,69,78.0
72,93,82.5
68,72,70.0
89,83,86.0
84,78,81.0
83,90,86.5
76,76,76.0
50,99,74.5
100,83,91.5
84,100,92.0
94,50,72.0
99,88,93.5
72,83,77.5
96,47,71.5
89,62,75.5
69,76,72.5
92,87,89.5
69,75,72.0
86,67,76.5
94,75,84.5
79,79,79.0
72,79,75.5
79,87,83.0
68,93,80.5
100,96,98.0
81,67,74.0
95,73,84.0
82,70,76.0
68,73,70.5
43,99,71.0
75,66,70.5
86,95,90.5
88,70,79.0
72,97,84.5
48,96,72.0
83,93,88.0
84,70,77.0
84,89,86.5
74,86,80.0
76,68,72.0
88,69,78.5
91,94,92.5
47,96,71.5
70,76,73.0
41,100,70.5
57,86,71.5
87,89,88.0
68,76,72.0
76,90,83.0
84,67,75.5
86,90,88.0
72,94,83.0
92,99,95.5
80,81,80.5
75,86,80.5
59,86,72.5
92,95,93.5
85,86,85.5
87,91,89.0
91,99,95.0
77,74,75.5
97,82,89.5
69,99,84.0
99,96,97.5
90,87,88.5
57,85,71.0
47,98,72.5
55,91,73.0
85,65,75.0
96,83,89.5
93,67,80.0
88,60,74.0
99,87,93.0
75,98,86.5
95,59,77.0
92,64,78.0
96,85,90.5
93,87,90.0
59,95,77.0
84,56,70.0
85,60,72.5
91,55,73.0
59,95,77.0
98,83,90.5
58,92,75.0
83,76,79.5
75,72,73.5
95,83,89.0
84,65,74.5
83,70,76.5
86,99,92.5
88,93,90.5
93,91,92.0
86,78,82.0
61,98,79.5
88,52,70.0
53,92,72.5
93,82,87.5
76,84,80.0
88,82,85.0
57,88,72.5
92,57,74.5
87,64,75.5
49,100,74.5
88,90,89.0
70,92,81.0
85,93,89.0
89,77,83.0
82,69,75.5
99,44,71.5
98,76,87.0
92,90,91.0
94,96,95.0
51,89,70.0
80,79,79.5
96,78,87.0
71,78,74.5
98,100,99.0
83,63,73.0
74,99,86.5
68,91,79.5
57,84,70.5
91,84,87.5
89,85,87.0
97,57,77.0
93,72,82.5
79,95,87.0
57,97,77.0
95,93,94.0
94,49,71.5
81,72,76.5
95,50,72.5
79,71,75.0
59,89,74.0
83,95,89.0
92,95,93.5
93,97,95.0
64,86,75.0
78,64,71.0
85,63,74.0
54,95,74.5
85,83,84.0
78,88,83.0
83,67,75.0
98,59,78.5
95,68,81.5
62,95,78.5
74,79,76.5
78,81,79.5
69,86,77.5
99,60,79.5
49,91,70.0
97,43,70.0
89,60,74.5
94,47,70.5
94,46,70.0
92,98,95.0
98,61,79.5
79,74,76.5
65,75,70.0
95,87,91.0
72,79,75.5
63,80,71.5
94,86,90.0
98,89,93.5
93,78,85.5
95,89,92.0
90,55,72.5
82,86,84.0
57,89,73.0
93,82,87.5
65,86,75.5
94,49,71.5
71,90,80.5
97,60,78.5
67,83,75.0
90,50,70.0
67,79,73.0
61,98,79.5
86,55,70.5
74,83,78.5
91,75,83.0
71,86,78.5
79,81,80.0
81,86,83.5
42,99,70.5
83,89,86.0
91,94,92.5
94,68,81.0
83,69,76.0
98,78,88.0
63,80,71.5
73,80,76.5
71,89,80.0
74,71,72.5
84,56,70.0
76,93,84.5
43,98,70.5
81,89,85.0
99,89,94.0
84,78,81.0
82,92,87.0
81,82,81.5
64,86,75.0
58,84,71.0
72,68,70.0
94,74,84.0
62,81,71.5
86,87,86.5
84,73,78.5
77,99,88.0
100,80,90.0
96,78,87.0
87,94,90.5
76,91,83.5
74,77,75.5
76,99,87.5
65,77,71.0
55,88,71.5
77,83,80.0
62,86,74.0
95,66,80.5
76,100,88.0
86,89,87.5
96,76,86.0
88,93,90.5
72,90,81.0
94,62,78.0
87,58,72.5
76,81,78.5
70,87,78.5
88,83,85.5
91,78,84.5
66,85,75.5
77,66,71.5
89,80,84.5
85,93,89.0
97,92,94.5
57,96,76.5
87,99,93.0
98,61,79.5
91,59,75.0
75,72,73.5
51,96,73.5
91,51,71.0
70,100,85.0
69,71,70.0
98,80,89.0
98,94,96.0
55,99,77.0
45,96,70.5
96,99,97.5
79,87,83.0
95,49,72.0
88,71,79.5
77,64,70.5
65,88,76.5
94,82,88.0
77,94,85.5
81,67,74.0
97,47,72.0
67,88,77.5
88,60,74.0
97,62,79.5
